사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2026-02,1호선,0150,서울역,1760286,1671967,226741,214630
2026-02,1호선,0151,시청,574229,584626,91962,90776
2026-02,1호선,0152,종각,868096,844844,133930,125034
2026-02,1호선,0153,종로3가,416372,375520,255623,233394
2026-02,1호선,0154,종로5가,406958,396368,208550,202601
2026-02,1호선,0155,동대문,237434,230223,109693,107224
2026-02,1호선,0156,신설동,252750,241895,109444,104676
2026-02,1호선,0157,제기동,196028,190982,247387,269572
2026-02,1호선,0158,청량리(서울시립대입구),365106,361825,273195,277193
2026-02,1호선,0159,동묘앞,141416,148703,143029,144988
2026-02,2호선,0201,시청,598637,553433,54805,49271
2026-02,2호선,0202,을지로입구,1217019,1246926,95676,88914
2026-02,2호선,0203,을지로3가,563117,573414,62854,63913
2026-02,2호선,0204,을지로4가,297583,292145,67915,66894
2026-02,2호선,0205,동대문역사문화공원(DDP),327881,374894,53331,58366
2026-02,2호선,0206,신당,305341,322303,83564,84967
2026-02,2호선,0207,상왕십리,295820,290030,60573,61308
2026-02,2호선,0208,왕십리(성동구청),358396,332349,48995,45629
2026-02,2호선,0209,한양대,193841,210702,13018,13745
2026-02,2호선,0210,뚝섬,559055,590319,58970,58842
2026-02,2호선,0211,성수,1339476,1435625,90316,90657
2026-02,2호선,0212,건대입구,905020,947587,87348,90539
2026-02,2호선,0213,구의(광진구청),612467,599857,107523,108566
2026-02,2호선,0214,강변(동서울터미널),639475,587061,98412,94101
2026-02,2호선,0215,잠실나루,287387,277375,80294,79484
2026-02,2호선,0216,잠실(송파구청),1931871,1863957,197838,185457
2026-02,2호선,0217,잠실새내,490657,481337,104425,104034
2026-02,2호선,0218,종합운동장,185956,206285,42794,44801
2026-02,2호선,0219,삼성(무역센터),1220266,1222767,104328,96735
2026-02,2호선,0220,선릉,1131813,986769,202513,178468
2026-02,2호선,0221,역삼,1050512,1190944,116450,118635
2026-02,2호선,0222,강남,1911532,1888860,148569,129971
2026-02,2호선,0223,교대(법원.검찰청),599694,719710,135345,158528
2026-02,2호선,0224,서초,453692,437874,81390,81969
2026-02,2호선,0225,방배,309586,319902,68496,67901
2026-02,2호선,0226,사당,878851,982679,196522,188696
2026-02,2호선,0227,낙성대(강감찬),594645,567999,102780,103514
2026-02,2호선,0228,서울대입구(관악구청),1004218,977874,165315,156975
2026-02,2호선,0229,봉천,477781,443148,137260,136922
2026-02,2호선,0230,신림,1236781,1209664,181381,181080
2026-02,2호선,0231,신대방,515713,489108,115861,116850
2026-02,2호선,0232,구로디지털단지,1220400,1202292,198114,197189
2026-02,2호선,0233,대림(구로구청),502056,512607,127793,133110
2026-02,2호선,0234,신도림,1026886,991828,207749,194208
2026-02,2호선,0235,문래,488285,509593,79819,80185
2026-02,2호선,0236,영등포구청,468598,482941,96800,96107
2026-02,2호선,0237,당산,401925,451626,53349,58509
2026-02,2호선,0238,합정,772733,845529,60855,61753
2026-02,2호선,0239,홍대입구,1928113,2076081,92028,89560
2026-02,2호선,0240,신촌,826605,828417,111310,109605
2026-02,2호선,0241,이대,341732,366350,46299,49340
2026-02,2호선,0242,아현,209533,196102,60588,59812
2026-02,2호선,0243,충정로(경기대입구),204865,221039,42812,43005
2026-02,2호선,0244,용답,55972,54533,17001,16621
2026-02,2호선,0245,신답,33295,38280,8499,8658
2026-02,2호선,0246,신설동,69635,68191,31570,33958
2026-02,2호선,0247,도림천,24179,25121,7561,8396
2026-02,2호선,0248,양천구청,119836,127797,49296,49861
2026-02,2호선,0249,신정네거리,187513,192289,68539,69955
2026-02,2호선,0250,용두(동대문구청),39908,38229,19802,21141
2026-02,3호선,0309,지축,154242,155788,33308,32613
2026-02,3호선,0310,구파발,437646,425620,128503,123679
2026-02,3호선,0311,연신내,716162,681606,244745,235280
2026-02,3호선,0312,불광,282160,298628,134478,149415
2026-02,3호선,0313,녹번,298868,269559,73581,72858
2026-02,3호선,0314,홍제,324820,303907,133105,130171
2026-02,3호선,0315,무악재,75479,72044,29150,31406
2026-02,3호선,0316,독립문,136058,143031,64786,65715
2026-02,3호선,0317,경복궁(정부서울청사),563030,573689,82057,78229
2026-02,3호선,0318,안국,574981,593567,95288,101361
2026-02,3호선,0319,종로3가,218084,246349,63370,71477
2026-02,3호선,0320,을지로3가,279494,267208,43253,40726
2026-02,3호선,0321,충무로,132,0,2,0
2026-02,3호선,0322,동대입구,220769,244898,34306,37663
2026-02,3호선,0323,약수,248321,244774,72168,66799
2026-02,3호선,0324,금호,156182,144690,48803,48078
2026-02,3호선,0325,옥수,174779,179187,55236,55772
2026-02,3호선,0326,압구정,654293,708148,124632,123999
2026-02,3호선,0327,신사,610468,645095,60745,58673
2026-02,3호선,0328,잠원,139988,135959,39707,38429
2026-02,3호선,0329,고속터미널,1205294,1169890,207159,194373
2026-02,3호선,0330,교대(법원.검찰청),328622,182756,79175,45387
2026-02,3호선,0331,남부터미널(예술의전당),706377,706903,116214,116563
2026-02,3호선,0332,양재(서초구청),756804,807018,136781,137542
2026-02,3호선,0333,매봉,237825,230560,72054,67498
2026-02,3호선,0334,도곡,119329,119935,27901,26061
2026-02,3호선,0335,대치,271443,260619,65325,64063
2026-02,3호선,0336,학여울,54416,57161,16009,15323
2026-02,3호선,0337,대청,202554,189698,55759,54108
2026-02,3호선,0338,일원,209838,204269,64243,64105
2026-02,3호선,0339,수서,367354,362304,110491,107535
2026-02,3호선,0340,가락시장,157487,153892,74537,72309
2026-02,3호선,0341,경찰병원,141606,140590,41243,42997
2026-02,3호선,0342,오금,129691,115899,30951,29761
2026-02,4호선,0409,불암산,174841,145624,71530,70604
2026-02,4호선,0410,상계,366415,338930,124047,120993
2026-02,4호선,0411,노원,436346,503419,101797,100020
2026-02,4호선,0412,창동,493782,517385,225651,231322
2026-02,4호선,0413,쌍문,570019,517969,165874,163133
2026-02,4호선,0414,수유(강북구청),686966,693031,177995,179738
2026-02,4호선,0415,미아(서울사이버대학),289062,271804,113103,115098
2026-02,4호선,0416,미아사거리,496158,489200,171534,171895
2026-02,4호선,0417,길음,410791,400355,111792,110839
2026-02,4호선,0418,성신여대입구(돈암),475045,458626,85958,84575
2026-02,4호선,0419,한성대입구(삼선교),275277,267137,69204,67924
2026-02,4호선,0420,혜화,849501,860039,121394,120199
2026-02,4호선,0421,동대문,371016,399941,123482,120404
2026-02,4호선,0422,동대문역사문화공원(DDP),462440,395036,61982,55854
2026-02,4호선,0423,충무로,637013,664164,106842,108518
2026-02,4호선,0424,명동,895296,952386,73659,75678
2026-02,4호선,0425,회현(남대문시장),523024,559924,169039,170754
2026-02,4호선,0426,서울역,276119,556801,38703,53903
2026-02,4호선,0427,숙대입구(갈월),313365,311320,49240,46135
2026-02,4호선,0428,삼각지(전쟁기념관),159795,192510,21735,23065
2026-02,4호선,0429,신용산,525873,580360,54039,54723
2026-02,4호선,0430,이촌(국립중앙박물관),277751,294556,53938,56835
2026-02,4호선,0431,동작(현충원),37643,39665,11634,11958
2026-02,4호선,0432,총신대입구(이수),354174,385314,146865,155672
2026-02,4호선,0433,사당,570301,498175,89891,94316
2026-02,4호선,0434,남태령,27549,20005,7611,6827
2026-02,경부선,1001,서울역,308230,108864,16126,4226
2026-02,경부선,1002,남영,193393,204242,32528,33646
2026-02,경부선,1003,용산,1202301,1216446,127164,126558
2026-02,경부선,1004,노량진,191662,193946,45103,41782
2026-02,경부선,1005,대방,191446,219910,51180,53635
2026-02,경부선,1006,영등포,864142,870955,286362,286466
2026-02,경부선,1007,신도림,76074,78791,22212,26498
2026-02,경부선,1032,신길,170220,148226,41046,38559
2026-02,경부선,1701,구로,326724,337153,95248,92648
2026-02,경부선,1702,가산디지털단지,352055,413447,34727,39343
2026-02,경부선,1703,금천구청,190765,194018,73937,75592
2026-02,경부선,1704,석수,153170,140468,45595,43309
2026-02,경부선,1705,관악,122042,119507,53741,52310
2026-02,경부선,1706,안양,430574,420754,124535,129641
2026-02,경부선,1707,명학,154335,150830,40193,39082
2026-02,경부선,1708,금정,572072,584253,130706,132485
2026-02,경부선,1709,군포,127212,124133,34411,33779
2026-02,경부선,1710,의왕,180343,176769,42851,42656
2026-02,경부선,1711,성균관대,313818,307175,63048,62985
2026-02,경부선,1712,화서,258428,251902,46857,45749
2026-02,경부선,1713,수원,929419,976742,160342,162859
2026-02,경부선,1714,독산,331150,334328,63317,64719
2026-02,경부선,1715,세류,74155,68830,16168,15911
2026-02,경부선,1716,병점,316616,315510,66864,67718
2026-02,경부선,1717,세마,69522,65701,15393,14431
2026-02,경부선,1718,오산대,77933,70702,16403,15549
2026-02,경부선,1719,오산,231706,229180,50235,50802
2026-02,경부선,1720,진위,31066,27964,8618,8493
2026-02,경부선,1721,송탄,94720,92094,20761,20596
2026-02,경부선,1722,서정리,182119,173856,33551,32537
2026-02,경부선,1723,평택지제,103682,97015,13711,12987
2026-02,경부선,1724,평택,284013,279053,65486,64047
2026-02,경부선,1725,성환,78893,76792,19258,19034
2026-02,경부선,1726,직산,20932,21017,4879,4689
2026-02,경부선,1727,두정,155088,157641,28927,29344
2026-02,경부선,1728,천안,124698,126411,50630,50274
2026-02,경부선,1729,당정,112813,107880,33125,31129
2026-02,경부선,1749,서동탄,29382,24244,6754,6055
2026-02,경부선,1750,광명,87535,72284,10702,9900
2026-02,경인선,1801,개봉,411111,398914,157152,162131
2026-02,경인선,1802,오류동,204313,187418,85020,83441
2026-02,경인선,1803,역곡,475237,471843,148807,152344
2026-02,경인선,1804,부천,591344,588903,231724,235052
2026-02,경인선,1805,송내,496370,486707,124744,122251
2026-02,경인선,1806,부평,647100,679606,149845,152435
2026-02,경인선,1807,백운,118233,112296,55495,55155
2026-02,경인선,1808,동암,280350,281135,105783,106591
2026-02,경인선,1809,주안,365824,324923,91728,81271
2026-02,경인선,1810,제물포,188759,178988,62564,62292
2026-02,경인선,1811,동인천,232485,214771,105851,102987
2026-02,경인선,1812,인천,66060,51914,32343,30822
2026-02,경인선,1813,구일,114134,113036,40743,39862
2026-02,경인선,1814,소사,142541,134099,60617,57829
2026-02,경인선,1815,부개,144738,131486,66141,65301
2026-02,경인선,1816,간석,99006,92997,44009,42209
2026-02,경인선,1817,도원,51227,52227,27961,29312
2026-02,경인선,1821,온수(성공회대입구),102006,95447,46973,45929
